brand;model;year_from;year_to;engine_volume;fuel_type;oil_ngn_5w30_product;oil_ngn_5w30_article;oil_ngn_5w40_product;oil_ngn_5w40_article;oil_specs;oil_fill_liters;filter_oil_mann;filter_oil_lynx;filter_oil_sufix;filter_air_mann;filter_air_lynx;filter_air_sufix;filter_cabin_mann;filter_cabin_lynx;filter_cabin_sufix;notes;at_type;at_oil_specs;at_oil_fill_liters;at_ngn_product;at_ngn_article;filter_oil_oe;filter_air_oe;filter_cabin_oe;oil_ngn_aline_5w30_product;oil_ngn_aline_5w30_article;oil_ngn_aline_5w40_product;oil_ngn_aline_5w40_article
Volkswagen;Touareg;2011;2014;3.0 TDI (CASD/CASA);дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 507 00 / 5W-30;8.3;HU 7012 z;нет данных;нет данных;C 39 002;нет данных;нет данных;CUK 2852;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Volkswagen;Touareg;2011;2014;3.6 FSI (CMTA);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 502 00 / 5W-40;6.7;HU 932/6 n;нет данных;нет данных;C 39 002;нет данных;нет данных;CUK 2852;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Ravon;R2/R4;2015;2020;1.25 MPI (R2);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2 / 5W-30;3.8;W 6021;нет данных;нет данных;C 24 043;нет данных;нет данных;CU 20 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Ravon;R2/R4;2015;2020;1.5 MPI (R4);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos 2 / 5W-30;4.5;W 6021;нет данных;нет данных;C 26 019;нет данных;нет данных;CU 24 013;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
ZAZ;Chance;2011;2014;1.3 (МеМЗ-307);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SL / 10W-40;3.45;W 712/75;нет данных;нет данных;C 24 043;нет данных;нет данных;CU 20 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
ZAZ;Chance;2011;2014;1.5 (A15SMS);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SL / 10W-40;3.75;W 712/75;нет данных;нет данных;C 24 043;нет данных;нет данных;CU 20 011;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Changan;CS35;2018;2023;1.6 MPI (JL478QEP);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN / 5W-30;3.5;W 6024;нет данных;нет данных;C 21 026;нет данных;нет данных;CU 21 022;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Changan;CS35;2018;2023;1.4T turb (JL473ZQ3);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN / ILSAC GF-5;4.0;W 6024;нет данных;нет данных;C 21 026;нет данных;нет данных;CU 21 022;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Zotye;T600;2017;2020;1.5T (SAIC 15S4G);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN / 5W-30;4.5;W 811/80;нет данных;нет данных;C 21 026;нет данных;нет данных;CU 21 022;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Zotye;T600;2017;2020;2.0T (4G63S4T);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN / 5W-40;4.5;W 811/80;нет данных;нет данных;C 21 026;нет данных;нет данных;CU 21 022;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A4;2005;2008;1.6;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN, VW 502.00;3.7;HU 726/2 X / W719/30;нет данных;нет данных;C 27 192/1 / C 26 168;нет данных;нет данных;CUK 2450 / FP3037;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A4;2005;2008;1.8T / 2.0 TFSI;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN, VW 502.00;4.1-4.5;HU 726/2 X / W719/30;нет данных;нет данных;C 27 192/1 / C 26 168;нет данных;нет данных;CUK 2450 / FP3037;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A4;2005;2008;2.0 TDI;дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 505.00 / 505.01;3.6-3.8;HU 726/2 X / W719/30;нет данных;нет данных;C 27 192/1 / C 26 168;нет данных;нет данных;CUK 2450 / FP3037;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A4;2005;2008;2.5 TDI V6;дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 505.00;5.3;HU 8001 X;нет данных;нет данных;C 27 192/1 / C 26 168;нет данных;нет данных;CUK 2450 / FP3037;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A4;2005;2008;3.0 TDI V6;дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 507.00;8.2;HU 8001 X;нет данных;нет данных;C 27 192/1 / C 26 168;нет данных;нет данных;CUK 2450 / FP3037;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A4;2005;2008;3.2 FSI;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SM/SN, VW 502.00;6.5;HU 726/2 X;нет данных;нет данных;C 27 192/1 / C 26 168;нет данных;нет данных;CUK 2450 / FP3037;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A7;2015;2018;2.0 TFSI (252 л.с.);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN/CF, VW 504.00;4.6;HU 6013 Z;нет данных;нет данных;C 16005 / C 15010;нет данных;нет данных;CUK 2641 / FP2641;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A7;2015;2018;3.0 TFSI (333 л.с.);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN/CF, VW 504.00;6.8;HU 7035 Y;нет данных;нет данных;C 16005 / C 15010;нет данных;нет данных;CUK 2641 / FP2641;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A7;2015;2018;3.0 TDI (218-272 л.с.);дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 507.00;6.1-6.4;HU 7035 Y;нет данных;нет данных;C 16005 / C 15010;нет данных;нет данных;CUK 2641 / FP2641;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Audi;A7;2015;2018;S7 4.0 TFSI (450 л.с.);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;VW 502 00 / 504 00;8.3;HU 7024 z;нет данных;нет данных;C 16005 / C 15010;нет данных;нет данных;CUK 2641 / FP2641;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;X5 E53;1999;2006;3.0i M54B30;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-01;7.5;HU 925/4 x;нет данных;нет данных;нет данных;нет данных;нет данных;CUK 5366;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;X5 E53;1999;2006;4.4i M62/N62;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-01;7.5-8.5;HU 938/4 x / HU 715/5 x;нет данных;нет данных;нет данных;нет данных;нет данных;CUK 5366;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;X5 E53;1999;2006;4.6is / 4.8is;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-01;8.0;HU 938/4 x / HU 715/5 x;нет данных;нет данных;нет данных;нет данных;нет данных;CUK 5366;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;X5 E53;1999;2006;3.0d M57;дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-04;7.5;HU 818 x / HU 721/4 x;нет данных;нет данных;нет данных;нет данных;нет данных;CUK 5366;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;5 Series G30;2018;2020;2.0i (520i/530i);бензин / гибрид;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-17 FE+ / LL-01;5.3;HU 6014/1 z;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;5 Series G30;2018;2020;3.0i (540i);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-17 FE+ / LL-01;6.5;HU 6022 z;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;5 Series G30;2018;2020;4.4i (M550i);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-01FE;10.5;HU 8007 z;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;5 Series G30;2018;2020;2.0d (520d);дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-04;5.0;HU 6014/1 z;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;5 Series G30;2018;2020;3.0d (530d/540d);дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-04;6.5;HU 6022 z;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;3 Series E92;2005;2010;2.0i (320i);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW LL-01 / LL-04;4.25;HU 815/2 x;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;3 Series E92;2005;2010;3.0i (325i/328i/330i) / 335i Twin-Turbo;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-01;6.5;HU 816 x;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;3 Series E92;2005;2010;M3 V8;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-01;8.8;HU 926/5 z;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;3 Series E92;2005;2010;2.0d (320d);дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-04;5.2;HU 720/3 x;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;3 Series E92;2005;2010;3.0d (325d/330d/335d);дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-04;7.5;HU 720/3 x;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;X1 E84;2013;2015;2.0i N20;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-04;5.5;HU 816 x;нет данных;нет данных;W0133-1846450;нет данных;нет данных;CUK 8430;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;X1 E84;2013;2015;3.0i N55 / N52;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-04;6.5;HU 816 x;нет данных;нет данных;W0133-1846450;нет данных;нет данных;CUK 8430;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
BMW;X1 E84;2013;2015;2.0d N47;дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;BMW Longlife-04;5.2;HU 721/5 x;нет данных;нет данных;C 30 135;нет данных;нет данных;CUK 8430;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chery;Tiggo 8;2021;2024;1.5T PHEV;гибрид;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SP / ACEA C3;4.7;W 711/80;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chery;Tiggo 8;2021;2024;1.6L TGDI;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN/SP, 5W-30;4.3-4.7;HU 6027 z;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chery;Tiggo 8;2021;2024;2.0L TGDI;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SP;5.0;W 711/80;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chery;Tiggo 7;2023;2024;1.5T ACTECO;бензин / гибрид;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SP/SN, ACEA C5, 5W-30;4.2-4.5;W 712/83;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chery;Tiggo 7;2023;2024;1.6L TGDI;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SP, ACEA C5, 0W-20 / 5W-30;4.5-4.7;W 712/83;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chery;Tiggo 7 Pro Max;2024;2025;1.5L Turbo;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN Plus/SP, 5W-30 / 5W-40;4.2-4.7;W 712/83;нет данных;нет данных;C 27089;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chery;Tiggo 7 Pro Max;2024;2025;1.6L TGDI;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SP, ACEA C5, 0W-20 / 5W-30;4.3-5.0;HU 6027 z;нет данных;нет данных;C 27073;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chery;Tiggo 4;2020;2024;1.5L (113 л.с.);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN/SP, 5W-30 / 0W-20;4.2-4.7;W 712/83;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chery;Tiggo 4;2020;2024;1.5L Turbo (147 л.с.);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;API SN/SP, 5W-30 / 5W-40;4.4-4.7;W 712/83;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Lacetti Clan;2007;2012;1.4L / 1.6L (бензин);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA A3/B4, 10W-40 / 5W-30;3.75;W 712/75;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Lacetti Clan;2007;2012;1.8L (бензин);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA A3/B4, 10W-40 / 5W-30;4.0;W 712/75;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Lacetti Clan;2007;2012;2.0L (дизель);дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA C3, 5W-40;6.2;HU 719/3 x;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Aveo;2008;2011;1.2L (84 л.с.);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA A3/B4, Dexos2, 5W-30;3.75;W 712/75 / W 6021;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Aveo;2008;2011;1.2L (72 л.с.);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA A5/B5, API SL, 5W-30;3.2;W 712/75 / W 6021;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Aveo;2008;2011;1.4L (101 л.с.);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA A3/B4, Dexos2, 5W-30 / 5W-40;4.5;W 712/75;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Aveo;2008;2011;1.6L;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;ACEA A3/B4, Dexos2, 5W-30;3.75;W 712/75;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Cobalt;2019;2022;1.5L;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos1 Gen2, 5W-30;3.75-4.0;W 6021;нет данных;нет данных;C 24028;нет данных;нет данных;CUK 2442;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Trailblazer;2013;2016;2.5L / 2.8L Duramax;дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos2, 5W-30;5.6-6.0;HU 6017 z;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Chevrolet;Trailblazer;2013;2016;3.6L V6;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;GM Dexos1, 5W-30;5.7;HU 69/3 x;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Citroen;C4;2007;2008;1.4L / 1.6L 16V (бензин);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;PSA B71 2312, 0W-30 / 5W-30;3.25;W 7043;нет данных;нет данных;C 4371/1;нет данных;нет данных;FP 2940;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Citroen;C4;2007;2008;1.6 VTi / THP;бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;PSA B71 2312, 0W-30 / 5W-30;4.25;W 7043;нет данных;нет данных;C 36002;нет данных;нет данных;FP 2940;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Citroen;C4;2007;2008;2.0L 16V (бензин);бензин;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;PSA B71 2296, 5W-40;4.25-5.0;W 7043;нет данных;нет данных;C 4371/1;нет данных;нет данных;FP 2940;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
Citroen;C4;2007;2008;1.6 HDi;дизель;NGN PROFI 5W-30;V172085301;NGN GOLD 5W-40;V172085302;PSA B71 2290, 5W-30;3.75-4.1;HU 711/51 x;нет данных;нет данных;C 4371/1;нет данных;нет данных;FP 2940;нет данных;нет данных;Заполнено агентом;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;NGN A-LINE 5W-30;V182575117;NGN A-LINE 5W-40;V182575120
